Date,UBS - MBFJF Accumulated Oriented Area
2021-12-26,0.0038609813541910743
2021-12-27,0.0038912529238550563
2021-12-28,0.0038955452423012175
2021-12-29,0.0038984153824707865
2021-12-30,0.003881648277085145
2021-12-31,0.003832044029831925
2022-01-01,0.003831624866034181
2022-01-02,0.0038312057022364373
2022-01-03,0.0038422764655316704
2022-01-04,0.0038594704037103298
2022-01-05,0.003843324255081235
2022-01-06,0.0038897207761634366
2022-01-07,0.003912490253513706
2022-01-08,0.003911965361289635
2022-01-09,0.003911440469065564
2022-01-10,0.003903149553608075
2022-01-11,0.0038978624413877217
2022-01-12,0.003897544743503746
2022-01-13,0.0039040484964028782
2022-01-14,0.003901886992578803
2022-01-15,0.0039022428374506785
2022-01-16,0.0039025986823225537
2022-01-17,0.0039029545271944297
2022-01-18,0.003909646856311816
2022-01-19,0.0039128107118756575
2022-01-20,0.003913118054835324
2022-01-21,0.003915049280960254
2022-01-22,0.003915249104094022
2022-01-23,0.0039154489272277895
2022-01-24,0.003923005680858334
2022-01-25,0.003941695606661008
2022-01-26,0.00394309537288996
2022-01-27,0.003939308507223302
2022-01-28,0.003921881949192191
2022-01-29,0.003922197204805261
2022-01-30,0.003922512460418331
2022-01-31,0.003918456387211194
2022-02-01,0.0038660547373215587
2022-02-02,0.0038604456160306762
2022-02-03,0.00386482435053832
2022-02-04,0.003863350487875062
2022-02-05,0.0038635233201608473
2022-02-06,0.0038636961524466324
2022-02-07,0.0038557614920389097
2022-02-08,0.0038433653018828096
2022-02-09,0.0038321814673143244
2022-02-10,0.0038772613703309143
2022-02-11,0.003913613718412886
2022-02-12,0.003913985654998907
2022-02-13,0.003914357591584927
2022-02-14,0.003923184700157092
2022-02-15,0.003914447559492342
2022-02-16,0.003930263446909938
2022-02-17,0.003952663565523953
2022-02-18,0.003955277176098321
2022-02-19,0.003955756923261125
2022-02-20,0.003956236670423928
2022-02-21,0.0039567164175867316
2022-02-22,0.004008213965406475
2022-02-23,0.004027457112845504
2022-02-24,0.004124701291663816
2022-02-25,0.004179900198980138
2022-02-26,0.004180150956663819
2022-02-27,0.004180401714347498
2022-02-28,0.004148516561055533
2022-03-01,0.004187760181200956
2022-03-02,0.004181958804642226
2022-03-03,0.004207612005597192
2022-03-04,0.004270125039375538
2022-03-05,0.004271362662261543
2022-03-06,0.004272600285147548
2022-03-07,0.004317368397073063
2022-03-08,0.004260235322580694
2022-03-09,0.004579625075102471
2022-03-10,0.004489893149683585
2022-03-11,0.004489727367000625
2022-03-12,0.004490289568919971
2022-03-13,0.004490851770839317
2022-03-14,0.004500963340924787
2022-03-15,0.0045041122690975596
2022-03-16,0.004527686779215515
2022-03-17,0.004533493731326967
2022-03-18,0.004404997254823967
2022-03-19,0.004405736883285553
2022-03-20,0.004406476511747138
2022-03-21,0.004398510409836314
2022-03-22,0.004292994683989351
2022-03-23,0.0043515768895794555
2022-03-24,0.004333799279398773
2022-03-25,0.004311364829167361
2022-03-26,0.004312236840502932
2022-03-27,0.004313108851838502
2022-03-28,0.004327482609152354
2022-03-29,0.004283535901805804
2022-03-30,0.00430420175308014
2022-03-31,0.004352149271507769
2022-04-01,0.004352411834368398
2022-04-02,0.0043524750959297274
2022-04-03,0.004352538357491055
2022-04-04,0.00435306566429819
2022-04-05,0.004351270472577877
2022-04-06,0.004350083179295869
2022-04-07,0.0043503638119524145
2022-04-08,0.004350377084460369
2022-04-09,0.00435067066546271
2022-04-10,0.004350964246465052
2022-04-11,0.004350590951144588
2022-04-12,0.004377394538124099
2022-04-13,0.004378682775409407
2022-04-14,0.004409158966356266
2022-04-15,0.004409407510058158
2022-04-16,0.00440965605376005
2022-04-17,0.004409904597461942
2022-04-18,0.004410153141163834
2022-04-19,0.004421493418277434
2022-04-20,0.004334265792469415
2022-04-21,0.004349575672462493
2022-04-22,0.004478717312380063
2022-04-23,0.004478920853003565
2022-04-24,0.0044791243936270694
2022-04-25,0.0045047951555620795
2022-04-26,0.004469008426922753
2022-04-27,0.004531544210350431
2022-04-28,0.00453326126077531
2022-04-29,0.004496902892648569
2022-04-30,0.004497087077964897
2022-05-01,0.004497271263281222
2022-05-02,0.0045016794514524845
2022-05-03,0.004389076452272028
2022-05-04,0.004376524493201271
2022-05-05,0.004459977485647491
2022-05-06,0.004388342917935101
2022-05-07,0.004388713121795425
2022-05-08,0.004389083325655748
2022-05-09,0.004356937431292375
2022-05-10,0.004378765023032154
2022-05-11,0.004634762829562116
2022-05-12,0.0046387154535979195
2022-05-13,0.0045847400159130655
2022-05-14,0.0045847726233016525
2022-05-15,0.004584805230690239
2022-05-16,0.004596219830443419
2022-05-17,0.004643022155101157
2022-05-18,0.004618608445472034
2022-05-19,0.0047064562136157175
2022-05-20,0.004695800434182664
2022-05-21,0.004695591452492732
2022-05-22,0.004695382470802801
2022-05-23,0.004760148222279437
2022-05-24,0.004796196286808748
2022-05-25,0.004701522949867563
2022-05-26,0.004724042600785676
2022-05-27,0.004727543228097137
2022-05-28,0.004727400027663626
2022-05-29,0.004727256827230115
2022-05-30,0.004727113626796604
2022-05-31,0.004720827462029122
2022-06-01,0.004740057521891347
2022-06-02,0.004759354094876983
2022-06-03,0.004736686646517779
2022-06-04,0.0047364867224699275
2022-06-05,0.004736286798422077
2022-06-06,0.004747428854922081
2022-06-07,0.004787787654647576
2022-06-08,0.004682038584002254
2022-06-09,0.004651239021211889
2022-06-10,0.004591713037153339
2022-06-11,0.004591627017540774
2022-06-12,0.00459154099792821
2022-06-13,0.00459040176456209
2022-06-14,0.004611804662718498
2022-06-15,0.004493443735241893
2022-06-16,0.004286173199962453
2022-06-17,0.004618973466062206
2022-06-18,0.004618895649059006
2022-06-19,0.004618817832055805
2022-06-20,0.004618740015052604
2022-06-21,0.0043781346823978315
2022-06-22,0.004533761821875056
2022-06-23,0.004473234112904836
2022-06-24,0.00462992160484568
2022-06-25,0.004629788049813278
2022-06-26,0.004629654494780876
2022-06-27,0.004630986048337995
2022-06-28,0.004589426933598721
2022-06-29,0.0045623138732576035
2022-06-30,0.0045394864350143446
2022-07-01,0.004525693326511112
2022-07-02,0.004525727549738916
2022-07-03,0.004525761772966718
2022-07-04,0.00452579599619452
2022-07-05,0.004466298469333878
2022-07-06,0.004543603402057251
2022-07-07,0.004552061003953489
2022-07-08,0.0046287344910767875
2022-07-09,0.004628639976744348
2022-07-10,0.00462854546241191
2022-07-11,0.0045854486155342995
2022-07-12,0.004622891546388095
2022-07-13,0.004581495449748287
2022-07-14,0.004495017954047562
2022-07-15,0.004581665942035972
2022-07-16,0.004581634705770652
2022-07-17,0.0045816034695053305
2022-07-18,0.004947637181171344
2022-07-19,0.004812070384522631
2022-07-20,0.00487227021614935
2022-07-21,0.004972796851460561
2022-07-22,0.00494402603768725
2022-07-23,0.004943553138926416
2022-07-24,0.004943080240165581
2022-07-25,0.004999108396024494
2022-07-26,0.004565732540375149
2022-07-27,0.004671276325801624
2022-07-28,0.00478761382071171
2022-07-29,0.004880239341012735
2022-07-30,0.004879834912608837
2022-07-31,0.004879430484204939
2022-08-01,0.0048565045031470945
2022-08-02,0.0048083200991282365
2022-08-03,0.004846782763768345
2022-08-04,0.004810089909081739
2022-08-05,0.004758768493243314
2022-08-06,0.004758547981029017
2022-08-07,0.004758327468814721
2022-08-08,0.004815194105024607
2022-08-09,0.004775591790255653
2022-08-10,0.004828724636495441
2022-08-11,0.004859521448286193
2022-08-12,0.0047381077566092025
2022-08-13,0.004738010172051661
2022-08-14,0.004737912587494118
2022-08-15,0.004747413037435845
2022-08-16,0.004751733935138312
2022-08-17,0.004808972121557219
2022-08-18,0.004792010978327513
2022-08-19,0.004695102079179027
2022-08-20,0.004695027324190601
2022-08-21,0.004694952569202175
2022-08-22,0.004619830914833617
2022-08-23,0.004619860850288701
2022-08-24,0.004837390940755616
2022-08-25,0.004765129535993921
2022-08-26,0.0046817321663735825
2022-08-27,0.004681684380548633
2022-08-28,0.004681636594723682
2022-08-29,0.004744964380366513
2022-08-30,0.004994202294533696
2022-08-31,0.004967865640456839
2022-09-01,0.004851518779677497
2022-09-02,0.0048804990405118594
2022-09-03,0.004880139276986028
2022-09-04,0.004879779513460197
2022-09-05,0.0048794197499343675
2022-09-06,0.004905630017124015
2022-09-07,0.0049263988270567705
2022-09-08,0.0053266383488406325
2022-09-09,0.005240844603888569
2022-09-10,0.005240163392458641
2022-09-11,0.005239482181028715
2022-09-12,0.005222208401214291
2022-09-13,0.0052122723912983275
2022-09-14,0.005174089618665657
2022-09-15,0.005364743641024297
2022-09-16,0.005149958410967937
2022-09-17,0.005149385759024999
2022-09-18,0.0051488131070820614
2022-09-19,0.005171474735828844
2022-09-20,0.00509293070714445
2022-09-21,0.0050289385236153405
2022-09-22,0.004920437497510829
2022-09-23,0.004755370142087573
2022-09-24,0.00475515561727694
2022-09-25,0.004754941092466306
2022-09-26,0.004671132961352351
2022-09-27,0.005197343012589493
2022-09-28,0.005259967930410319
2022-09-29,0.005128632927476901
2022-09-30,0.00506889941621985
2022-10-01,0.005068350785530086
2022-10-02,0.0050678021548403234
2022-10-03,0.005658851800330229
2022-10-04,0.006083802212463845
2022-10-05,0.005903063220069486
2022-10-06,0.005641203659979145
2022-10-07,0.00559487290139447
2022-10-08,0.005593796164754474
2022-10-09,0.0055927194281144765
2022-10-10,0.005511166482315992
2022-10-11,0.005387099185475846
2022-10-12,0.005498479342846692
2022-10-13,0.005839575384774537
2022-10-14,0.005593213039036046
2022-10-15,0.005592058957058793
2022-10-16,0.005590904875081537
2022-10-17,0.005795718060363674
2022-10-18,0.005759165668693251
2022-10-19,0.0056189029070343255
2022-10-20,0.005442397196622649
2022-10-21,0.00552442650624983
2022-10-22,0.005523498693599754
2022-10-23,0.005522570880949677
2022-10-24,0.0056882989022865125
2022-10-25,0.0059713042134139005
2022-10-26,0.005878454935714629
2022-10-27,0.005798563551591933
2022-10-28,0.005872846581851339
2022-10-29,0.005871770756719819
2022-10-30,0.0058706949315883
2022-10-31,0.005765145509339161
2022-11-01,0.0058101036205121855
2022-11-02,0.005646443718810148
2022-11-03,0.00571678319315907
2022-11-04,0.005970371410504121
2022-11-05,0.0059692267367078234
2022-11-06,0.0059680820629115245
2022-11-07,0.00599858765160457
2022-11-08,0.005896492738053876
2022-11-09,0.00585921598781472
2022-11-10,0.006216771358636449
2022-11-11,0.0065345951442467
2022-11-12,0.0065331005583393175
2022-11-13,0.006531605972431933
2022-11-14,0.006281125854543334
2022-11-15,0.0063196019719074315
2022-11-16,0.006291340129699546
2022-11-17,0.006277856013604487
2022-11-18,0.006286738914613745
2022-11-19,0.0062856707891255584
2022-11-20,0.006284602663637371
2022-11-21,0.006267108231527128
2022-11-22,0.006270929645940176
2022-11-23,0.006296491034474303
2022-11-24,0.006295436424351878
2022-11-25,0.006316060516475305
2022-11-26,0.006314986425759478
2022-11-27,0.006313912335043652
2022-11-28,0.005978474765242594
2022-11-29,0.005955628952789872
2022-11-30,0.005970521803138989
2022-12-01,0.005977897718967945
2022-12-02,0.005972790785198945
2022-12-03,0.005972369995434608
2022-12-04,0.0059719492056702714
2022-12-05,0.006026768639814205
2022-12-06,0.005993298474356767
2022-12-07,0.005819647916787983
2022-12-08,0.005814359097140918
2022-12-09,0.005820656894406686
2022-12-10,0.005820507458135721
2022-12-11,0.005820358021864756
2022-12-12,0.005919154079237652
2022-12-13,0.005995912032871588
2022-12-14,0.005943176384919384
2022-12-15,0.005864022235468589
2022-12-16,0.006000360620329196
2022-12-17,0.005999823170601725
2022-12-18,0.005999285720874255
2022-12-19,0.006023290970400672
2022-12-20,0.005386723716927994
2022-12-21,0.005403329650856493
2022-12-22,0.005399597841321149
2022-12-23,0.005407641247655913
2022-12-24,0.005408119141312925
2022-12-25,0.005408597034969938
2022-12-26,0.0054090749286269495
2022-12-27,0.005187625375764607
2022-12-28,0.005044449330794247
2022-12-29,0.005058006653460829
2022-12-30,0.00509783977772754
2022-12-31,0.005098980897903745
2023-01-01,0.005100122018079951
2023-01-02,0.0051012631382561565
2023-01-03,0.00508085366450114
2023-01-04,0.0050410815169102665
2023-01-05,0.005030547110420806
2023-01-06,0.004972344255369469
2023-01-07,0.004973414203468812
2023-01-08,0.004974484151568155
2023-01-09,0.0049680623073594735
2023-01-10,0.004950595401280074
2023-01-11,0.004968031549188796
2023-01-12,0.004846551244855732
2023-01-13,0.004768088584515259
2023-01-14,0.004769631572954899
2023-01-15,0.004771174561394539
2023-01-16,0.004772717549834177
2023-01-17,0.004737940106828997
2023-01-18,0.00474027763411032
2023-01-19,0.004788537616427478
2023-01-20,0.00476408632407503
2023-01-21,0.0047652911729596315
2023-01-22,0.004766496021844232
2023-01-23,0.00475860655775589
2023-01-24,0.004762062891832658
2023-01-25,0.004748585897451524
2023-01-26,0.0047140799057104645
2023-01-27,0.004720080089658579
2023-01-28,0.0047214458122535885
2023-01-29,0.004722811534848596
2023-01-30,0.004750245572897341
2023-01-31,0.004727729583674048
2023-02-01,0.004707428001033246
2023-02-02,0.00474555658209392
2023-02-03,0.004749220306600141
2023-02-04,0.004750064359908695
2023-02-05,0.004750908413217249
2023-02-06,0.004774527611090884
2023-02-07,0.004747042682931337
2023-02-08,0.0047379883205266385
2023-02-09,0.004739409364736086
2023-02-10,0.004737027593226835
2023-02-11,0.00473813412907571
2023-02-12,0.004739240664924585
2023-02-13,0.004710009610143652
2023-02-14,0.004693730521248
2023-02-15,0.004688849199503983
2023-02-16,0.004711010862179368
2023-02-17,0.004711027376156893
2023-02-18,0.004712046103499727
2023-02-19,0.004713064830842561
2023-02-20,0.004714083558185393
2023-02-21,0.004739195369240806
2023-02-22,0.0047815873317562955
2023-02-23,0.004757976489315188
2023-02-24,0.004792724196928029
2023-02-25,0.004793666377580533
2023-02-26,0.004794608558233037
2023-02-27,0.004771851738513021
2023-02-28,0.004768842262718094
2023-03-01,0.004782905755030412
2023-03-02,0.004795506363374589
2023-03-03,0.004745639620425967
2023-03-04,0.004746440091834621
2023-03-05,0.004747240563243275
2023-03-06,0.0047450336258800085
2023-03-07,0.004787601076813138
2023-03-08,0.004807725375751059
2023-03-09,0.004829594937020915
2023-03-10,0.0049685181145334885
2023-03-11,0.004969396393580556
2023-03-12,0.004970274672627624
2023-03-13,0.005153983159774908
2023-03-14,0.005314224712302517
2023-03-15,0.00528352442774167
2023-03-16,0.005188669977973173
2023-03-17,0.005219679190127734
2023-03-18,0.005220210670189393
2023-03-19,0.00522074215025105
2023-03-20,0.005150813220394697
2023-03-21,0.00519495816733898
2023-03-22,0.005179767374460732
2023-03-23,0.005149355384027044
2023-03-24,0.0052151114445582875
2023-03-25,0.005215548141158664
2023-03-26,0.005215984837759041
2023-03-27,0.0052353473476208015
2023-03-28,0.005158255952492105
2023-03-29,0.005179324983611837
2023-03-30,0.0051896065174745504
2023-03-31,0.005224583701041263
2023-04-01,0.005224664853493387
2023-04-02,0.0052247460059455094
2023-04-03,0.005205605494546595
2023-04-04,0.005183333067073911
2023-04-05,0.005179965991626573
2023-04-06,0.005210362634306497
2023-04-07,0.005210554156812374
2023-04-08,0.005210745679318252
2023-04-09,0.00521093720182413
2023-04-10,0.005209220501075262
2023-04-11,0.005198617415606791
2023-04-12,0.005197360377523774
2023-04-13,0.005223593220259484
2023-04-14,0.0052111282913312835
2023-04-15,0.005211238338375257
2023-04-16,0.005211348385419229
2023-04-17,0.005184874880830094
2023-04-18,0.005151427885406563
2023-04-19,0.005153641206284807
2023-04-20,0.005175373224789344
2023-04-21,0.005225801626905477
2023-04-22,0.005226231461393368
2023-04-23,0.005226661295881259
2023-04-24,0.00526209724653749
2023-04-25,0.005227477736973725
2023-04-26,0.005264567577642262
2023-04-27,0.0052765025551605805
2023-04-28,0.005274826920654115
2023-04-29,0.005275142693776516
2023-04-30,0.005275458466898917
2023-05-01,0.005300644484489716
2023-05-02,0.005344755352991562
2023-05-03,0.0053257147540285935
2023-05-04,0.005323811261363156
2023-05-05,0.005299411414417289
2023-05-06,0.005299684505487772
2023-05-07,0.005299957596558255
2023-05-08,0.005291368499414375
2023-05-09,0.0052100965856619955
2023-05-10,0.005203857093230832
2023-05-11,0.005168055379558824
2023-05-12,0.00516793647307996
2023-05-13,0.005168571590152417
2023-05-14,0.005169206707224873
2023-05-15,0.005050263650641139
2023-05-16,0.005052707693116051
2023-05-17,0.005051157412105323
2023-05-18,0.004978936486127995
2023-05-19,0.005028789613057813
2023-05-20,0.0050294975010898935
2023-05-21,0.005030205389121974
2023-05-22,0.0050301860129760775
2023-05-23,0.00494539465539304
2023-05-24,0.005045095089268639
2023-05-25,0.005046484474094016
2023-05-26,0.005118684791328518
2023-05-27,0.005119298664286325
2023-05-28,0.005119912537244133
2023-05-29,0.00512052641020194
2023-05-30,0.005116400072117933
2023-05-31,0.005068291558146228
2023-06-01,0.00507053709734113
2023-06-02,0.004806837709825584
2023-06-03,0.0048080477397639135
2023-06-04,0.004809257769702242
2023-06-05,0.004769882325263111
2023-06-06,0.004860114166987362
2023-06-07,0.004908293458374327
2023-06-08,0.00490944951530318
2023-06-09,0.0048243824524050365
2023-06-10,0.004825482052795279
2023-06-11,0.004826581653185521
2023-06-12,0.004869233768637876
2023-06-13,0.004889074879467626
2023-06-14,0.0048828164900635
2023-06-15,0.004816921210645033
2023-06-16,0.004827330414224309
2023-06-17,0.004828386605913419
2023-06-18,0.004829442797602529
2023-06-19,0.004830498989291639
2023-06-20,0.004852945023932688
2023-06-21,0.004831641121081051
2023-06-22,0.004841644746463574
2023-06-23,0.004851121714054184
2023-06-24,0.004852351968122091
2023-06-25,0.004853582222189998
2023-06-26,0.004866613984005345
2023-06-27,0.0047590194026642585
2023-06-28,0.004764418176841869
2023-06-29,0.004663799577461937
2023-06-30,0.004614662019147583
2023-07-01,0.00461620013644942
2023-07-02,0.004617738253751256
2023-07-03,0.004597978321070816
2023-07-04,0.004599477111611818
2023-07-05,0.004570311073932106
2023-07-06,0.004802222008960752
2023-07-07,0.004759624471068575
2023-07-08,0.004761140640679355
2023-07-09,0.004762656810290136
2023-07-10,0.004764172979900916
