Date,UBS - NWG Accumulated Oriented Area
2020-06-26,0.0030666385544702406
2020-06-27,0.003064344009849281
2020-06-28,0.003062049465228321
2020-06-29,0.0030931381939646764
2020-06-30,0.003134253418412983
2020-07-01,0.003116028418698461
2020-07-02,0.0030950791450546217
2020-07-03,0.003093001151364936
2020-07-04,0.0030909231576752476
2020-07-05,0.0030888451639855593
2020-07-06,0.003227100662557135
2020-07-07,0.003202466045037487
2020-07-08,0.003252995571496547
2020-07-09,0.003229794619225555
2020-07-10,0.003245691686309167
2020-07-11,0.003243555542837208
2020-07-12,0.003241419399365246
2020-07-13,0.0032039727710184845
2020-07-14,0.0034242095080183046
2020-07-15,0.003316498577086489
2020-07-16,0.003355804970154883
2020-07-17,0.0033788279222960755
2020-07-18,0.003376574376028476
2020-07-19,0.0033743208297608756
2020-07-20,0.0033445372675396483
2020-07-21,0.003449095389832133
2020-07-22,0.0034885117189695737
2020-07-23,0.0034818712475095217
2020-07-24,0.0035196447149087135
2020-07-25,0.003517209605198583
2020-07-26,0.003514774495488453
2020-07-27,0.0036224612989996406
2020-07-28,0.0034313637506591084
2020-07-29,0.0033710087928816466
2020-07-30,0.0033782145346642626
2020-07-31,0.0033685098408787343
2020-08-01,0.003365912400957326
2020-08-02,0.0033633149610359163
2020-08-03,0.003327983039016131
2020-08-04,0.003344479924085242
2020-08-05,0.003480440320288451
2020-08-06,0.0034865769169958156
2020-08-07,0.0034642619125094757
2020-08-08,0.0034618643931639188
2020-08-09,0.003459466873818362
2020-08-10,0.003448117126209087
2020-08-11,0.003394203469179644
2020-08-12,0.0034962159722722614
2020-08-13,0.0034897318387887297
2020-08-14,0.0034361733652203148
2020-08-15,0.0034338899452693947
2020-08-16,0.0034316065253184713
2020-08-17,0.003457097477920837
2020-08-18,0.0033873376529734815
2020-08-19,0.003372897119439867
2020-08-20,0.003337987937836835
2020-08-21,0.0033543011440910248
2020-08-22,0.003351895595829538
2020-08-23,0.0033494900475680555
2020-08-24,0.003440195586552766
2020-08-25,0.0034238929049563195
2020-08-26,0.0034800179251442053
2020-08-27,0.0034779619369184984
2020-08-28,0.0034723370841620474
2020-08-29,0.0034699727163147375
2020-08-30,0.003467608348467427
2020-08-31,0.0033983012866903657
2020-09-01,0.0035031902500244714
2020-09-02,0.003692206806548297
2020-09-03,0.0036024423624814103
2020-09-04,0.003534012357948278
2020-09-05,0.0035314824648012286
2020-09-06,0.0035289525716541807
2020-09-07,0.003526422678507131
2020-09-08,0.0035109863119685285
2020-09-09,0.0037242306596680444
2020-09-10,0.003718423141787143
2020-09-11,0.0037528107867892077
2020-09-12,0.003749913485232516
2020-09-13,0.003747016183675825
2020-09-14,0.003924781545927617
2020-09-15,0.0037966264234864508
2020-09-16,0.003753739673718077
2020-09-17,0.0037576530769796394
2020-09-18,0.0036950004046973697
2020-09-19,0.0036919597928345843
2020-09-20,0.003688919180971798
2020-09-21,0.003359669553570587
2020-09-22,0.003112402513551581
2020-09-23,0.00286592735158259
2020-09-24,0.0026308595909099635
2020-09-25,0.002408592924817262
2020-09-26,0.0024057728726713176
2020-09-27,0.0024029528205253697
2020-09-28,0.0025095141673399566
2020-09-29,0.0025752947303621394
2020-09-30,0.0026047935479476345
2020-10-01,0.002598076383703991
2020-10-02,0.002536581409432683
2020-10-03,0.0025341368949198893
2020-10-04,0.002531692380407096
2020-10-05,0.0026663981966071806
2020-10-06,0.002578644507360536
2020-10-07,0.002691644010332741
2020-10-08,0.002707551944932986
2020-10-09,0.00262708551287356
2020-10-10,0.0026247225515459343
2020-10-11,0.0026223595902183086
2020-10-12,0.002683101247502282
2020-10-13,0.002775583850071505
2020-10-14,0.0026045288605705975
2020-10-15,0.0025685547762346
2020-10-16,0.00259847378809571
2020-10-17,0.002596076678318923
2020-10-18,0.002593679568542136
2020-10-19,0.0026378517144671335
2020-10-20,0.0029925617654581608
2020-10-21,0.0028304283765889105
2020-10-22,0.0028764228946806256
2020-10-23,0.002806345117108492
2020-10-24,0.0028042121488504714
2020-10-25,0.0028020791805924506
2020-10-26,0.00277434334991247
2020-10-27,0.0027209179234073577
2020-10-28,0.0025425271778753353
2020-10-29,0.0024384710972835157
2020-10-30,0.0023315204349465077
2020-10-31,0.002329486883665633
2020-11-01,0.002327453332384758
2020-11-02,0.0026191936635564022
2020-11-03,0.0027793482866234924
2020-11-04,0.002778074099765983
2020-11-05,0.0029571076594632905
2020-11-06,0.003002229170738807
2020-11-07,0.0030000889144689118
2020-11-08,0.00299794865819902
2020-11-09,0.0029347499401662404
2020-11-10,0.0029622353498763927
2020-11-11,0.002911533402575831
2020-11-12,0.0028871718854777424
2020-11-13,0.0028845896770223886
2020-11-14,0.0028830707316409676
2020-11-15,0.002881551786259546
2020-11-16,0.002995796424374429
2020-11-17,0.003031432312542445
2020-11-18,0.002965646996021124
2020-11-19,0.0030102584854490395
2020-11-20,0.0030019530563028993
2020-11-21,0.003000614289583559
2020-11-22,0.002999275522864218
2020-11-23,0.0030065543212133596
2020-11-24,0.0029782211498160438
2020-11-25,0.0029731903626648085
2020-11-26,0.0029720716869032246
2020-11-27,0.0029775541672274097
2020-11-28,0.002976370109509609
2020-11-29,0.002975186051791809
2020-11-30,0.0029512903985968843
2020-12-01,0.002926323840179372
2020-12-02,0.002922301097142269
2020-12-03,0.0028810043713181563
2020-12-04,0.002850654049304176
2020-12-05,0.002849744432635098
2020-12-06,0.0028488348159660193
2020-12-07,0.002908378218766553
2020-12-08,0.002892375856136525
2020-12-09,0.0028810949779772173
2020-12-10,0.0028768417226237475
2020-12-11,0.0029604654001672464
2020-12-12,0.00295900721403897
2020-12-13,0.0029575490279106944
2020-12-14,0.0028685569689657275
2020-12-15,0.00290307880451463
2020-12-16,0.0028659113309168686
2020-12-17,0.0028227461085501004
2020-12-18,0.0028710678320145798
2020-12-19,0.002869858326044916
2020-12-20,0.002868648820075254
2020-12-21,0.0028436212832864925
2020-12-22,0.0027673712601597126
2020-12-23,0.0027524436030021216
2020-12-24,0.0027480319628742254
2020-12-25,0.00274704659762892
2020-12-26,0.0027460612323836147
2020-12-27,0.0027450758671383095
2020-12-28,0.002742479114008425
2020-12-29,0.002786562042062398
2020-12-30,0.002743189900402279
2020-12-31,0.0027308528024522316
2021-01-01,0.0027299136272296008
2021-01-02,0.0027289744520069695
2021-01-03,0.0027280352767843387
2021-01-04,0.0028647683243055197
2021-01-05,0.0029394190077179604
2021-01-06,0.002974969751263807
2021-01-07,0.003064379757729191
2021-01-08,0.0030209489361185406
2021-01-09,0.00301984701269796
2021-01-10,0.003018745089277379
2021-01-11,0.0030201964995617064
2021-01-12,0.003038041821791932
2021-01-13,0.003000903785256895
2021-01-14,0.0030188757711967548
2021-01-15,0.003014332422459141
2021-01-16,0.0030131026608514197
2021-01-17,0.0030118728992436987
2021-01-18,0.003010643137635978
2021-01-19,0.002968399473543066
2021-01-20,0.002976365071904499
2021-01-21,0.0029646903522076006
2021-01-22,0.0029774108514029787
2021-01-23,0.002976103305517736
2021-01-24,0.002974795759632491
2021-01-25,0.0029082744752862563
2021-01-26,0.0029987827623559533
2021-01-27,0.002959201669815358
2021-01-28,0.0030699421390543847
2021-01-29,0.0029036458804639676
2021-01-30,0.0029021845922168766
2021-01-31,0.0029007233039697873
2021-02-01,0.002924863572383496
2021-02-02,0.002942578171295419
2021-02-03,0.002967112397863354
2021-02-04,0.002905329377531171
2021-02-05,0.0028487338314192655
2021-02-06,0.002847785932653858
2021-02-07,0.0028468380338884493
2021-02-08,0.0028903114378342493
2021-02-09,0.0028765540881833373
2021-02-10,0.0028838415791108928
2021-02-11,0.00287469095831588
2021-02-12,0.0028948891135879753
2021-02-13,0.0028940065356585143
2021-02-14,0.002893123957729053
2021-02-15,0.0028922413797995918
2021-02-16,0.002901762532797568
2021-02-17,0.002890166251121468
2021-02-18,0.002880886611857504
2021-02-19,0.002853482853748473
2021-02-20,0.002852813848809194
2021-02-21,0.002852144843869915
2021-02-22,0.002865588283386849
2021-02-23,0.0028295398052907397
2021-02-24,0.0028587176211912805
2021-02-25,0.002858255931623826
2021-02-26,0.0028331106871099855
2021-02-27,0.002832495834940948
2021-02-28,0.0028318809827719105
2021-03-01,0.0028531569777771547
2021-03-02,0.002868436562605767
2021-03-03,0.0028309737094907705
2021-03-04,0.002814747759957496
2021-03-05,0.0028137889752631938
2021-03-06,0.002813314929396172
2021-03-07,0.002812840883529149
2021-03-08,0.002813723269973257
2021-03-09,0.002815001460849382
2021-03-10,0.0028235930085108068
2021-03-11,0.0028060457179338054
2021-03-12,0.0027789338081007707
2021-03-13,0.002778512782754556
2021-03-14,0.0027780917574083412
2021-03-15,0.0027851987485255007
2021-03-16,0.0028259660634348555
2021-03-17,0.0028352786808891043
2021-03-18,0.0028682321263968405
2021-03-19,0.0028546269979143
2021-03-20,0.002854124915727923
2021-03-21,0.0028536228335415462
2021-03-22,0.0028486451974132354
2021-03-23,0.002827348399027038
2021-03-24,0.0028302709176310573
2021-03-25,0.0028673084616230183
2021-03-26,0.002859044706139521
2021-03-27,0.0028585269662291125
2021-03-28,0.0028580092263187024
2021-03-29,0.0028211581611180545
2021-03-30,0.002784092654717151
2021-03-31,0.002783490247590653
2021-04-01,0.0027995340437615293
2021-04-02,0.0027991497351817943
2021-04-03,0.002798765426602059
2021-04-04,0.002798381118022324
2021-04-05,0.00280603048595649
2021-04-06,0.0028347009863519093
2021-04-07,0.0028245386032250686
2021-04-08,0.0028281918690132653
2021-04-09,0.002832588919435113
2021-04-10,0.0028321306300852643
2021-04-11,0.002831672340735415
2021-04-12,0.0028179016788493112
2021-04-13,0.0027805200954108566
2021-04-14,0.002797002285397437
2021-04-15,0.0028063972175533585
2021-04-16,0.0028073105518933556
2021-04-17,0.002806946324698987
2021-04-18,0.002806582097504618
2021-04-19,0.002791911290452433
2021-04-20,0.002792204241011372
2021-04-21,0.0027725070913096465
2021-04-22,0.002772181140751933
2021-04-23,0.0027499663450907133
2021-04-24,0.002749607172692242
2021-04-25,0.00274924800029377
2021-04-26,0.0027363662581164107
2021-04-27,0.002694822534765987
2021-04-28,0.0027020648080237145
2021-04-29,0.0027385535076068362
2021-04-30,0.002731612389975203
2021-05-01,0.002731264099950334
2021-05-02,0.0027309158099254657
2021-05-03,0.0027141592953635867
2021-05-04,0.002714514057483233
2021-05-05,0.00270492118915848
2021-05-06,0.002736882894097048
2021-05-07,0.0027205332477275505
2021-05-08,0.0027202875950973794
2021-05-09,0.0027200419424672074
2021-05-10,0.0027349706134414797
2021-05-11,0.0027035191618976955
2021-05-12,0.002729613485127651
2021-05-13,0.0027377815462805307
2021-05-14,0.0027241144380122577
2021-05-15,0.0027238123244186204
2021-05-16,0.002723510210824983
2021-05-17,0.002727980250834603
2021-05-18,0.0026990975283013594
2021-05-19,0.0026913829373833844
2021-05-20,0.002682753147431549
2021-05-21,0.0026866587786106904
2021-05-22,0.0026865029618970784
2021-05-23,0.0026863471451834668
2021-05-24,0.0026897276164558224
2021-05-25,0.0027025640117186054
2021-05-26,0.002697211301301859
2021-05-27,0.002674929478982412
2021-05-28,0.0026748539627896007
2021-05-29,0.0026747813255365072
2021-05-30,0.0026747086882834147
2021-05-31,0.0026746360510303212
2021-06-01,0.0026780420441650764
2021-06-02,0.0026724649194537356
2021-06-03,0.0026747526604664973
2021-06-04,0.002675846822195069
2021-06-05,0.002675772202388854
2021-06-06,0.002675697582582639
2021-06-07,0.0026691258366950557
2021-06-08,0.002680406789889049
2021-06-09,0.002693481230633046
2021-06-10,0.0026890043537114573
2021-06-11,0.0026817050544015925
2021-06-12,0.0026815707648203857
2021-06-13,0.0026814364752391785
2021-06-14,0.002688624783846935
2021-06-15,0.0026854742088645634
2021-06-16,0.00267757559888503
2021-06-17,0.0026890196565901975
2021-06-18,0.0026994737200280623
2021-06-19,0.002699211239721693
2021-06-20,0.0026989487594153237
2021-06-21,0.002678673463513852
2021-06-22,0.0026578121168682974
2021-06-23,0.0026488535637383286
2021-06-24,0.0026329634016576836
2021-06-25,0.0026476269198279353
2021-06-26,0.0026475082600612102
2021-06-27,0.0026473896002944847
2021-06-28,0.002664182899219272
2021-06-29,0.002674862912708123
2021-06-30,0.0026623713561318894
2021-07-01,0.0026488554638474902
2021-07-02,0.0026741822711636633
2021-07-03,0.002673964701805396
2021-07-04,0.0026737471324471285
2021-07-05,0.002673529563088861
2021-07-06,0.0026629310676102246
2021-07-07,0.002657444778963098
2021-07-08,0.0026938684269160844
2021-07-09,0.0026283563625844795
2021-07-10,0.0026281923511590095
2021-07-11,0.0026280283397335396
2021-07-12,0.0025878170656896157
2021-07-13,0.0026443738892603895
2021-07-14,0.00261509944779587
2021-07-15,0.002626865567068583
2021-07-16,0.0026713870874669884
2021-07-17,0.0026711208863422426
2021-07-18,0.0026708546852174967
2021-07-19,0.0027272745859799287
2021-07-20,0.002803503467305479
2021-07-21,0.002790614753631844
2021-07-22,0.0028212260380403886
2021-07-23,0.00280837509309182
2021-07-24,0.002808012372366903
2021-07-25,0.0028076496516419858
2021-07-26,0.0028078838059787184
2021-07-27,0.0028035172334863285
2021-07-28,0.002794974134598672
2021-07-29,0.0027996408000264847
2021-07-30,0.0028173298569266186
2021-07-31,0.0028170042506212227
2021-08-01,0.002816678644315827
2021-08-02,0.002810067184595053
2021-08-03,0.0027933714177656196
2021-08-04,0.002789860107852998
2021-08-05,0.0027853899552644
2021-08-06,0.002774271854704468
2021-08-07,0.002774181533491017
2021-08-08,0.002774091212277566
2021-08-09,0.0027692284104582254
2021-08-10,0.0027723854548499845
2021-08-11,0.002759980190893249
2021-08-12,0.0027642724042503085
2021-08-13,0.0027665421625474415
2021-08-14,0.0027664974998273155
2021-08-15,0.0027664528371071895
2021-08-16,0.0027708879076319376
2021-08-17,0.002788097859941671
2021-08-18,0.002788113919532605
2021-08-19,0.0027812901383161884
2021-08-20,0.002781401432055622
2021-08-21,0.0027812146215812445
2021-08-22,0.002781027811106867
2021-08-23,0.002781209436974367
2021-08-24,0.0027825008527352798
2021-08-25,0.0027779958443334783
2021-08-26,0.0027680426151130894
2021-08-27,0.002761584719386461
2021-08-28,0.0027615130665053053
2021-08-29,0.002761441413624149
2021-08-30,0.0027675165382385143
2021-08-31,0.0027821674683738812
2021-09-01,0.0027828317997158226
2021-09-02,0.0027773601869182786
2021-09-03,0.0027686735915285598
2021-09-04,0.002768563897803516
2021-09-05,0.002768454204078473
2021-09-06,0.002768344510353429
2021-09-07,0.0027828521572103465
2021-09-08,0.002790234720281567
2021-09-09,0.002787438227949181
2021-09-10,0.002796767011157333
2021-09-11,0.0027965260342282514
2021-09-12,0.0027962850572991705
2021-09-13,0.0027901366673840334
2021-09-14,0.0027939254366932402
2021-09-15,0.0027809014887397072
2021-09-16,0.0027786453762629827
2021-09-17,0.002767603670226947
2021-09-18,0.0027674564933090266
2021-09-19,0.0027673093163911064
2021-09-20,0.0027457644208838
2021-09-21,0.0027537331929038305
2021-09-22,0.0027178688342513213
2021-09-23,0.002683465789832336
2021-09-24,0.0026864340073718697
2021-09-25,0.002686424479937876
2021-09-26,0.002686414952503883
2021-09-27,0.0026675705374397804
2021-09-28,0.00268882889795647
2021-09-29,0.002677639198498325
2021-09-30,0.0026622504737248997
2021-10-01,0.002656950591282881
2021-10-02,0.002657019708796937
2021-10-03,0.002657088826310993
2021-10-04,0.002663042662850348
2021-10-05,0.0026183293468739154
2021-10-06,0.0026204414787170563
2021-10-07,0.002660845656630694
2021-10-08,0.0026566693045864446
2021-10-09,0.0026567095542124114
2021-10-10,0.0026567498038383777
2021-10-11,0.002644979989551376
2021-10-12,0.0026438267561118495
2021-10-13,0.0026389344453542265
2021-10-14,0.002635443797119043
2021-10-15,0.0026140158869734603
2021-10-16,0.002614194414304104
2021-10-17,0.002614372941634747
2021-10-18,0.002622850619540066
2021-10-19,0.0026133301067348333
2021-10-20,0.0026133396087899157
2021-10-21,0.002628797442723703
2021-10-22,0.002620082560261532
2021-10-23,0.002620199525203095
2021-10-24,0.0026203164901446576
2021-10-25,0.002622004106522689
2021-10-26,0.0026163094293032473
2021-10-27,0.0026195615101089666
2021-10-28,0.0026172161626125123
2021-10-29,0.0026402194714862867
2021-10-30,0.0026400671978713056
2021-10-31,0.002639914924256325
2021-11-01,0.002642675921541866
2021-11-02,0.002645395999770437
2021-11-03,0.0026431672122997577
2021-11-04,0.0026493149396703687
2021-11-05,0.002650986357477389
2021-11-06,0.0026506875228845444
2021-11-07,0.0026503886882916993
2021-11-08,0.002644596969554683
2021-11-09,0.002651057193889161
2021-11-10,0.00263948376537117
2021-11-11,0.002633094362216111
2021-11-12,0.0026333882448090983
2021-11-13,0.002633128601897958
2021-11-14,0.0026328689589868175
2021-11-15,0.0026260726312110467
2021-11-16,0.0026187498077353626
2021-11-17,0.002620962739656045
2021-11-18,0.0026145645219707737
2021-11-19,0.0026098756455587326
2021-11-20,0.0026096839183465475
2021-11-21,0.0026094921911343624
2021-11-22,0.002599914860134271
2021-11-23,0.002602262335881256
2021-11-24,0.002608620926012966
2021-11-25,0.002608447726875603
2021-11-26,0.0026290231903735614
2021-11-27,0.002628663039094574
2021-11-28,0.0026283028878155874
2021-11-29,0.002634840885915866
2021-11-30,0.0026405939897226026
2021-12-01,0.002647784467119012
2021-12-02,0.0026432685474297125
2021-12-03,0.002647806147127569
2021-12-04,0.0026474578981268565
2021-12-05,0.0026471096491261447
2021-12-06,0.0026555251528782415
2021-12-07,0.002652450833575758
2021-12-08,0.002651641641456124
2021-12-09,0.002657655244081133
2021-12-10,0.0026596794610975554
2021-12-11,0.0026593481383693405
2021-12-12,0.002659016815641126
2021-12-13,0.0026616961877775043
2021-12-14,0.0026471439367918128
2021-12-15,0.0026311235269259096
2021-12-16,0.002629689753127495
2021-12-17,0.002623489418720705
2021-12-18,0.0026232240575349663
2021-12-19,0.0026229586963492286
2021-12-20,0.0026166381832624127
2021-12-21,0.0026031260944098054
2021-12-22,0.0025943634349499035
2021-12-23,0.0025910862806966567
2021-12-24,0.002590979031877255
2021-12-25,0.0025908717830578523
2021-12-26,0.00259076453423845
2021-12-27,0.002590622814172482
2021-12-28,0.0025904806524795643
2021-12-29,0.0025897120574056723
2021-12-30,0.002590996823965797
2021-12-31,0.0025881840552467866
